movie_id,num_trials,num_events
1,8,5
2,1,0
3,23,4
4,79,33
5,1,0
6,5,5
7,4,2
8,2,1
9,1,0
10,120,69
11,2,0
12,4,2
13,1,0
14,62,47
15,43,27
16,9,5
17,2,0
18,74,61
19,1,0
20,6366,3047
21,422,331
22,677,377
23,1107,328
24,1,0
25,155,38
26,3392,690
27,1,1
28,1,0
29,6,3
30,6903,5296
31,3,0
32,2,0
33,898,243
34,7,5
35,4,3
36,7,1
37,4,1
38,2,2
39,461,366
40,30910,14770
41,4,1
42,38,13
43,3,2
44,9,6
45,6,4
46,18,8
47,2,1
48,141,52
49,23,4
50,61,24
51,2,0
52,757,225
53,537,199
54,20,15
55,7,6
56,4,1
57,2,0
58,4,1
59,137,79
60,4,2
61,6,3
62,4,0
63,3,0
64,165,106
65,7,3
66,17,3
67,4,2
68,3,1
69,28,13
70,7,5
71,8,3
72,8,7
73,143,34
74,40,13
75,33,13
76,4,0
77,7,6
78,6,4
79,6729,3902
80,1,0
81,23,16
82,5,1
83,922,457
84,16,12
85,130,68
86,2,1
87,8,6
88,1,0
89,1,0
90,52,33
91,5170,3965
92,2,0
93,45,3
94,2,2
95,4,1
96,174,119
97,2,1
98,13,1
99,1,0
100,14,6
101,23,9
102,14,3
103,18,13
104,4896,1982
105,113,91
106,3,1
107,12,5
108,4,2
109,2,1
110,4,1
111,3,1
112,3,2
113,4,2
114,161,108
115,121,74
116,159,100
117,1,0
118,3,1
119,2,0
120,307,243
121,865,452
122,6,0
123,5,3
124,1,1
125,3,1
126,8,3
127,34,16
128,82,45
129,1,0
130,3,2
131,4,1
132,3092,1136
133,1,1
134,24,4
135,47,28
136,10,9
137,98,21
138,2,1
139,17,15
140,36,11
141,1290,1084
142,3,3
143,6,3
144,23,12
145,14,7
146,3421,2731
147,1,0
148,2779,1199
149,1,0
150,12,5
151,24,6
152,1201,901
153,22,16
154,807,243
155,4,1
156,3,1
157,1,0
158,339,201
159,45,36
160,1,1
161,34,21
162,1,1
163,2,0
164,13,3
165,69,29
166,1,0
167,294,125
168,11,4
169,3,0
170,381,281
171,48,13
172,22,9
173,1,0
174,1,0
175,360,152
176,36,17
177,17,13
178,1,0
179,9,5
180,6,5
181,4,2
182,3,1
183,3,3
184,1,1
185,1486,952
186,2,1
187,2,2
188,4,3
189,1,0
190,15,7
191,13,4
192,5,4
193,896,305
194,2,1
195,1,1
196,1,1
197,5,4
198,2,1
199,7,3
200,1,0
201,26,11
202,13,6
203,38,31
204,2,0
205,167,71
206,2486,1263
207,1,0
208,3,0
209,64,44
210,8,5
211,14,4
212,11,5
213,3,1
214,2,0
215,21,5
216,4,0
217,38,30
218,2,2
219,761,462
220,8,6
221,18,4
222,2,2
223,68,43
224,2,2
225,1,0
226,7,5
227,30,5
228,5,2
229,277,168
230,126,53
231,4,2
232,10,5
233,5,3
234,5,1
235,17,14
236,23,19
237,340,231
238,87,71
239,6,4
240,15945,13576
241,1,1
242,13,9
243,3,0
244,1,0
245,10,5
246,32,23
247,18,12
248,5,1
249,1,1
250,4,1
251,27,12
252,66,18
253,16,10
254,14,6
255,2,2
256,2236,1090
257,5,3
258,17,11
259,2,0
260,2,0
261,1297,276
262,273,158
263,1,1
264,6,3
265,15,4
266,190,51
267,32584,21775
268,1,0
269,2,2
270,37,10
271,1,0
272,24,9
273,2,1
274,1612,926
275,62,35
276,224,44
277,19,15
278,2,1
279,1,0
280,23,15
281,5,3
282,28,22
283,161,43
284,7,3
285,139,74
286,4,2
287,77,36
288,1,1
289,536,125
290,4476,2082
291,1,0
292,21,15
293,5,4
294,3,2
295,1,0
296,7,4
297,5,2
298,1,1
299,13,2
300,35,10
301,6,0
302,2,1
303,17,8
304,73,10
305,5,1
306,22,9
307,4,1
308,13,6
309,209,29
310,230,178
311,3,0
312,4,3
313,1,0
314,1,0
315,1,1
316,9,4
317,5,2
318,223,71
319,2,0
320,2,1
321,710,176
322,3,1
323,458,240
324,2,2
325,32,12
326,2,2
327,3,1
328,10,3
329,91,36
330,6,3
331,87,72
332,2,1
333,3,1
334,6,3
335,1,1
336,1,1
337,4,3
338,1,0
339,1,0
340,2,1
341,19,9
342,1065,796
343,4,2
344,4,2
345,607,200
346,3,3
347,8,4
348,4,2
349,2,1
350,1,0
351,6,2
352,4,4
353,18,14
354,10,5
355,25,1
356,1,0
357,5,1
358,2,2
359,5,3
360,1,0
361,15,9
362,49,34
363,2,2
364,4,1
365,339,160
366,3,0
367,6767,4683
368,4,1
369,14,13
370,3,0
371,1,0
372,771,540
373,105,42
374,54,35
375,2,1
376,2,2
377,945,338
378,5,2
379,6,3
380,3,2
381,9,4
382,2469,2034
383,6,1
384,9,4
385,7,2
386,31,23
387,47,35
388,53,33
389,2,2
390,5,2
391,2,1
392,15,3
393,28,22
394,6,2
395,18,8
396,6,4
397,17,8
398,2,1
399,12,3
400,11,0
401,2,1
402,3,1
403,2,1
404,5,2
405,9,6
406,4032,2874
407,120,86
408,2,0
409,1,1
410,1,1
411,121,25
412,2,2
413,2,0
414,5,3
415,14,6
416,2,1
417,7,3
418,1,0
419,3,0
420,2,0
421,4177,2755
422,400,231
423,3860,1955
424,1,0
425,4,0
426,11,6
427,498,314
428,5,3
429,1,1
430,1,0
431,46,37
432,7,3
433,29,21
434,53,36
435,6098,2302
436,4,3
437,3,2
438,16,7
439,2,0
440,7,2
441,6,2
442,15,4
443,17,8
444,586,370
445,5,2
446,1,0
447,4,4
448,6,4
449,4,2
450,23,15
451,1,0
452,6,5
453,1625,888
454,1,1
455,2,0
456,1,0
457,30,9
458,4,2
459,37,16
460,4,2
461,16,13
462,1,0
463,1567,962
464,1,0
465,5,1
466,8,2
467,3974,3136
468,15063,12165
469,3,2
470,4,1
471,7,3
472,16,4
473,1,1
474,5,1
475,5,2
476,1,1
477,10,6
478,2,1
479,1,1
480,2,2
481,5360,4473
482,36,11
483,13,3
484,2,1
485,2,0
486,188,119
487,1764,1078
488,14,5
489,2,0
490,1,0
491,82,26
492,11,7
493,1,1
494,915,342
495,255,200
496,27,14
497,657,237
498,11,4
499,1,0
500,2,2
501,115,60
502,3,3
503,1,0
504,2,1
505,2,0
506,1,0
507,7,6
508,1,1
509,8,6
510,5,1
511,4,1
512,77,65
513,8,2
514,325,252
515,322,221
516,3,2
517,2,2
518,7015,3470
519,5,2
520,5,1
521,2118,1213
522,4,0
523,85,50
524,1931,1714
525,331,96
526,42,29
527,2,2
528,3,1
529,5,0
530,8,3
531,1067,877
532,54,28
533,1,0
534,4,3
535,363,186
536,1,0
537,4,1
538,9372,6054
539,2,0
540,31,22
541,1,1
542,13,6
543,4,4
544,15,7
545,42,21
546,23,7
547,13,10
548,5068,4333
549,16,7
550,1,0
551,5,3
552,4,3
553,1,1
554,2,1
555,18,13
556,13,10
557,14,9
558,1,0
559,24,14
560,1,0
561,1,1
562,483,336
563,84,23
564,4,4
565,5,4
566,12,7
567,6,3
568,1,0
569,1,0
570,1572,894
571,3,3
572,465,370
573,3,2
574,65,20
575,55,37
576,1,0
577,2,0
578,7,3
579,7,4
580,14,6
581,59,18
582,4,3
583,551,149
584,7,1
585,5,4
586,1,0
587,1,0
588,1,1
589,532,257
590,10,4
591,143,51
592,1,0
593,1,0
594,3,3
595,4,0
596,10,3
597,152,79
598,147,42
599,14,6
600,5,2
601,49638,39077
602,2,1
603,4,2
604,3,1
605,6,1
606,82,40
607,16,11
608,275,161
609,51,29
610,1,1
611,1,0
612,7,4
613,2,1
614,4,0
615,2,1
616,2477,2077
617,7,5
618,2,0
619,893,514
620,3,0
621,9,5
622,13,10
623,2,1
624,1,0
625,131,99
626,1079,729
627,9,5
628,15,11
629,155,60
630,4,1
631,3,1
632,3,2
633,9,5
634,6,2
635,2,1
636,1,1
637,2,1
638,17836,5293
639,35,11
640,5781,3332
641,281,142
642,2,0
643,1,0
644,1,1
645,1,1
646,9862,7436
647,2,0
648,12,5
649,5,3
650,1,1
651,186,115
652,1,0
653,49,42
654,1,0
655,2,1
656,296,136
657,4,2
658,16,8
659,131,31
660,553,478
661,3,1
662,1,0
663,2,2
664,6152,4078
665,4,2
666,324,180
667,111,76
668,13,5
669,5,3
670,617,476
671,1023,368
672,2,1
673,6,1
674,208,167
675,3,0
676,1515,1142
677,21,15
678,37,8
679,13,2
680,2,1
681,3,0
682,3,1
683,1,1
684,14,10
685,35,17
686,4209,1630
687,338,167
688,1,0
689,95,48
690,2,0
691,3,3
692,54,37
693,2,0
694,42,17
695,4,2
696,2,1
697,416,178
698,454,364
699,2,2
700,2,1
701,2,0
702,7,5
703,629,331
704,6,5
705,4,1
706,6,5
707,8,3
708,1,0
709,3,1
710,432,235
711,2,0
712,7,2
713,2,0
714,4,3
715,8,4
716,80,48
717,1,1
718,2,1
719,2,1
720,2,0
721,6668,3944
722,2,1
723,1,1
724,6,5
725,3,1
726,1,0
727,1,0
728,3,0
729,9,6
730,6,2
731,15,3
732,163,132
733,2,0
734,49,40
735,23,11
736,495,229
737,35,10
738,4,1
739,6,0
740,4,2
741,31,15
742,404,185
743,3,1
744,1,1
745,2,1
746,91,10
747,7,2
748,9,1
749,8,6
750,172,128
751,1,1
752,5924,2389
753,1,0
754,1,1
755,6,6
756,61,39
757,3,1
758,1,1
759,51,27
760,849,357
761,178,32
762,4,1
763,1,1
764,9,2
765,2,1
766,747,279
767,6,4
768,38,13
769,32,17
770,9,1
771,4,4
772,765,661
773,1,0
774,17,11
775,4,2
776,40,27
777,3,3
778,3,3
779,904,693
780,6,3
781,11,1
782,5,3
783,70,27
784,76,31
785,92,52
786,1458,383
787,25,15
788,15,3
789,90,32
790,2,1
791,1,1
792,3,0
793,4,1
794,1,0
795,3,1
796,21,9
797,312,214
798,8,3
799,3,3
800,2,1
801,32,20
802,42,25
803,23,6
804,3579,588
805,6,3
806,2,1
807,30,25
808,1000,562
809,582,305
810,1,0
811,22,2
812,9,7
813,1,1
814,4973,3838
815,1,1
816,1,1
817,53,39
818,1,0
819,149,38
820,1,0
821,583,232
822,2,0
823,12,4
824,41,18
825,7,5
826,15,8
827,134,28
828,3,1
829,65,45
830,5,2
831,38,30
832,5,1
833,2,1
834,927,390
835,3,1
836,56,36
837,84,35
838,4,3
839,102,22
840,6,2
841,1,0
842,15,9
843,1,0
844,1,1
845,9,5
846,16,9
847,8,2
848,3,2
849,17,15
850,3,1
851,35,6
852,5,2
853,1,1
854,1,0
855,3,1
856,499,344
857,4,3
858,4,1
859,1,1
860,1,0
861,5,1
862,10,2
863,3,2
864,246,207
865,27,16
866,2,1
867,26,12
868,113,82
869,1,0
870,765,602
871,628,278
872,2,0
873,3924,2654
874,274,187
875,3,1
876,35,8
877,1,1
878,8,6
879,1,0
880,2,0
881,9,4
882,9,6
883,2,1
884,3,3
885,4,1
886,10,3
887,14,9
888,12,4
889,8,1
890,17,14
891,3,0
892,1,0
893,3,0
